community_name,Latitude,Longitude,community_name,datehour_ec,datehour_my,condition,temp,dewpoint,windchill,pressure,visibility,humidity,windspeed,gust,direction,bearing,realTemp,temp_delta,dwellings,ceiling_w,window_w,noWindowWall_w,floor_w,total_w,total_w_per_dwelling
Brantford,43.1408157,-80.2631733,Brantford,2023-04-05 12:00:00,2023-04-05 07:00:00,,3.6,1.9,0.0,101.2,,89.0,21.0,30,NE,54.4,3.6,14.700000000000001,52726,244.755,496.12500000000006,926.1,163.17000000000004,96496488.9,1830.15
Brockville,44.5895925,-75.6843332,Brockville,2023-04-05 12:00:00,2023-04-05 07:00:00,,-0.5,-8.2,-7.0,102.1,,56.0,31.0,48,ENE,64.4,-7.0,25.3,16709,421.24499999999995,853.875,1593.9,280.83000000000004,52630843.65,3149.85
Chatham-Kent,42.41833,-82.0898417,Chatham-Kent,2023-04-05 12:00:00,2023-04-05 07:00:00,Mainly Sunny,10.3,9.5,0.0,100.8,16.0,95.0,21.0,,SSE,150.0,10.3,8.0,42992,133.2,270.0,504.0,88.80000000000001,42820032.0,996.0
Cobourg,43.9595998,-78.1677784,Cobourg,2023-04-05 12:00:00,2023-04-05 07:00:00,,2.5,-1.5,0.0,101.6,,74.0,18.0,33,ENE,59.5,2.5,15.8,8047,263.07,533.25,995.4000000000001,175.38000000000002,15829253.700000001,1967.1000000000001
Collingwood,44.5027226,-80.2172379,Collingwood,2023-04-05 12:00:00,2023-04-05 07:00:00,,2.8,1.5,0.0,101.4,,91.0,6.0,,SE,131.5,2.8,15.5,8339,258.075,523.125,976.5,172.05,16092185.25,1929.75
Guelph,43.5460516,-80.2493276,Guelph,2023-04-05 12:00:00,2023-04-05 07:00:00,,2.4,1.5,0.0,101.3,,94.0,18.0,32,E,94.8,2.4,15.9,54868,264.73499999999996,536.625,1001.7,176.49000000000004,108613949.39999999,1979.55
Hamilton,43.2560802,-79.8728583,Hamilton,2023-04-05 12:00:00,2023-04-05 07:00:00,Mostly Cloudy,3.0,2.1,0.0,101.3,24.0,94.0,31.0,44,NE,48.0,3.0,15.3,282186,254.74499999999998,516.375,963.9000000000001,169.83000000000004,537522002.1,1904.85
Kenora,54.0245941,-89.1618188,Kenora,2023-04-05 12:00:00,2023-04-05 07:00:00,Light Snow,-8.9,-10.3,-17.0,100.6,0.8,90.0,22.0,31,NE,37.0,-17.0,35.3,6521,587.7449999999999,1191.375,2223.8999999999996,391.83000000000004,28658816.849999998,4394.849999999999
Kingston,44.230687,-76.481323,Kingston,2023-04-05 12:00:00,2023-04-05 07:00:00,Light Rainshower,0.8,-7.2,0.0,101.9,24.0,55.0,30.0,52,NE,44.0,0.8,17.5,52413,291.375,590.625,1102.5,194.25000000000003,114194823.75,2178.75
London,42.983612,-81.249725,London,2023-04-05 12:00:00,2023-04-05 07:00:00,Mostly Cloudy,5.6,3.9,0.0,101.1,24.0,89.0,22.0,,ESE,113.0,5.6,12.700000000000001,195056,211.455,428.62500000000006,800.1,140.97000000000003,308412794.40000004,1581.15
